gene_ID	protein	rna	protein_degradation	rna_hl	translation
rna12931	248	23221.6008316565	140983	0.020844372	1505.6577818845
rna12946	250	117037.794922561	154652	0.0177933869	330.3462785298
rna12973	252	2471.9224403963	14.7232	0.073280722	1.5009558307
rna12979	253	45308.6800294249	45.9229	0.0223695268	0.2564297546
rna12984	254	38642.1309418398	45.7979	0.01462067	0.3010358465
rna12994	255	15189.6829540797	131.92	0.0183035796	2.214634769
rna13007	256	286.516792999	224645	0.0352214453	200718.147784789
rna13013	257	15186.1897641047	1.49508	0.0151548822	0.0253016435
rna13020	258	4508.5556130637	9.46765	0.0414525639	0.541781872
rna13027	259	62075.0120546623	12.9986	0.0143820544	0.0542349858
rna13028	260	8384.694792958	26.6288	0.0230352241	0.8257292807
rna13037	261	391715.339813712	120425	0.0174262901	80.2391987379
rna13041	262	4566.7903334371	42226	0.0343898422	2422.5355648578
rna13042	263	33788.712783709	53.3797	0.0205465613	0.4154896693
rna13047	264	5292.1061994759	102826	0.1301728223	5129.5387841401
rna13057	266	127666.382362492	105077	0.0308666871	218.9337669226
rna13089	268	632289.627687857	87298	0.0120313014	37.0018152687
rna13099	270	632784.304067659	66.3385	0.0120998157	0.0283056879
rna13107	271	105296.373536185	60.1711	0.0218407544	0.1548616306
rna13108	272	5248.6876093573	13.1777	0.0232684793	0.6829010729
rna13110	273	4193.9756820908	16.7936	0.0413903789	1.093151975
rna13140	275	7823.8465248572	24.8259	0.029053781	0.8726043486
rna13148	276	6167.0346639798	17.4272	0.0507304104	0.7799384083
rna13150	277	20876.4845534897	29.8496	0.0158567755	0.3960599391
rna13161	280	1161095.7561635	7.07221	0.0173440568	0.0017054742
rna13178	281	46172.268042232	12.6595	0.055206844	0.0770445042
rna13189	282	216469.43816848	23.2716	0.0191783592	0.0303164791
rna13194	283	63442.5943636561	120225	0.0202027274	536.290726148
rna13196	284	58534.8402537824	77.5846	0.0326364974	0.3764258398
rna13198	285	203638.295110014	88.9571	0.0158790269	0.1244990461
rna13201	286	49075.5597383113	29.2718	0.0498962362	0.1705886768
rna13236	289	23105.1204994608	36.9419	0.0122790786	0.4620711284
rna13267	290	6567.5868323437	6.18825	0.0127275046	0.2732499083
rna13269	291	10542.1994498562	4.73479	0.0213763227	0.130696056
rna13283	293	9732.0120909287	8.30131	0.0193062633	0.2499261003
rna13284	294	22690.5413262662	25.0737	0.0584404039	0.3248784458
rna13298	296	356.5611029279	8.76522	0.0284746121	7.2764670591
rna13305	298	59451.4588611473	38.2199	0.0293563755	0.1915769675
rna13308	299	165465.810699239	70.9782	0.0132041757	0.1282590144
rna13319	300	7427.2387928131	10.2529	0.0123560344	0.4141337159
rna13320	301	299815.286263067	33.2289	0.0139267882	0.0333602033
rna13332	303	1237677.89972312	136697	0.0167332345	33.4652424587
rna13339	305	18149.8961059141	12.7448	0.0239769652	0.2141700414
rna13341	306	41075.1962325223	16.1764	0.0304260794	0.1205101583
rna13343	307	96186.8819547049	25.1538	0.0183686344	0.0802834695
rna13361	309	5484.9680632431	5.82724	0.033545049	0.3282821594
rna13368	310	234386.562781608	136821	0.0172869355	180.9596484399
rna13378	312	49475.7502826014	47.2006	0.1623126613	0.2976526301
rna13380	313	1150055.3051343	62.1507	0.0028979129	0.0169149858
rna13392	314	5063.01682915	20.6291	0.0549177324	1.2793829487
rna13396	315	169854.36445182	52.8451	0.0146667581	0.0980028188
rna13449	318	21646.4996138997	39.6724	0.0142565483	0.5828112362
rna13460	319	9824.6135785092	30.7265	0.025479071	0.9976731829
rna13466	320	176375.209088727	71274	0.0164215881	129.3134115494
rna13485	322	3881781.6963456	490003	0.0105335822	40.6465325313
rna13487	323	23364.1049462467	72183	0.0260060048	997.9029393011
rna13490	324	3332.3896947896	32.2129	0.0269486325	3.1319805173
rna13496	325	6837.090009925	80.7266	0.0307424238	3.8373262546
rna13501	326	3484781.63245203	199.66	0.0177652935	0.0186781173
rna13506	327	44718.8077114126	166269	0.0422314401	1215.8187076648
rna13507	328	21685.5376789904	54.6828	0.0212902143	0.8270930915
rna13524	331	41459.7004209282	6.74623	0.0226642443	0.0538595819
rna13529	332	19546.7341495225	8.51254	0.0363482019	0.1445849347
rna13534	333	4867.0534412823	1.43225	0.0471037033	0.0979934278
rna13559	336	24388.9361424949	41.3019	0.0145644231	0.5690054834
rna13579	338	22083.6245326949	36.7994	0.1203940554	0.5632316915
rna13580	339	24872.0956104825	23743	0.0210363042	323.610729311
rna13593	344	23453.7427559939	45716	0.0211968655	670.5242810758
rna13639	347	1157292.69704511	293545	0.0134477658	88.0158625904
rna13651	348	13661.5560452761	22.1377	0.0281649124	0.563912308
rna13681	350	10910.6533007785	16.6867	0.0285271258	0.5352882948
rna13696	351	10101.2223761221	261495	0.0145156998	9086.4988000825
rna13698	352	193984.65610059	16.6631	0.0173077513	0.0302364698
rna13702	353	190411.671748594	117019	0.0149463932	216.9389440293
rna13709	354	3855.5138312815	5.15877	0.0309073163	0.4736604925
rna13734	356	4403.875190395	11.0076	0.0297079907	0.8898312124
rna13750	357	19649.5192593875	18.0025	0.0155049697	0.3270763226
rna13756	358	2984914.22169236	175516	0.0135142994	21.0507650583
rna13757	359	3332415.88372002	491143	0.0108885408	52.9106639605
rna13763	361	56569.1885181333	50366	0.0752943971	321.4139441681
rna13771	362	3409.9194699132	19.0929	0.0271706363	2.0269187765
rna13777	365	5365.1785255482	9.13955	0.0250822858	0.621775349
rna13784	367	62712.8279710743	95.2768	0.0280638711	0.5575667169
rna13785	368	8393.078823656	13.8784	0.0265329283	0.6085074747
rna13788	369	75116.8916753668	33.2036	0.0163684244	0.1631074999
rna13789	370	35254.4417327135	12.3621	0.0164455276	0.1297418644
rna13803	372	52669.7648091063	13.0596	0.0192369415	0.092238331
rna13805	373	72386.7838817101	5.33784	0.0109965174	0.0275052187
rna13809	374	2689.4150040065	8.26447	0.0366542618	1.1492877728
rna13811	375	117497.037831656	49.4137	0.0381214912	0.1577072737
rna13847	377	39373.2613957836	22.9707	0.0515869241	0.2199450488
rna13853	379	56242.6799268691	66784	0.0806261335	450.0343161619
rna13854	380	740056.972718785	4289.5	0.0112106643	2.2025466418
rna13861	381	7217.1416879735	48.1999	0.0428255131	2.5445200737
rna13866	382	129635.584436093	40.4261	0.02077369	0.1191244693
rna13876	384	71756.6543540688	48.0193	0.0187747729	0.2569714456
rna13880	385	37821.4073182016	53.2014	0.0255627684	0.5415594091
rna13883	386	69226.779216161	41.2165	0.0210724626	0.2298181308
rna13895	389	3006.5427546845	4.8063	0.0325803064	0.6218606727
rna13909	391	3557.3468744547	11.4035	0.0143428914	1.2533971686
rna13926	393	56663.5973384738	27.9676	0.0188812942	0.1939740383
rna13949	394	274702.317390305	38.6158	0.0147871465	0.055385864
rna13950	395	11930.8114967389	34.5415	0.0218807181	1.1435846173
rna13951	396	2322.7447818428	17.6323	0.0419564176	3.0060947094
rna13961	397	135962.781945917	78.0063	0.0153317291	0.2277718995
rna13962	398	38265.3482007609	9.25314	0.0183302865	0.0962424202
rna13966	399	5768113.21294169	431163	0.0114066251	29.8250104755
rna13970	400	5532.7742046702	3.04271	0.0456855827	0.2199771679
rna14011	402	191735.225158639	59.4563	0.0133080386	0.1246585367
rna14040	405	21847.0799446351	19.8381	0.0322724626	0.3677576372
rna14054	406	519069.287731423	66.2857	0.0169728674	0.0518466317
rna14074	407	3442.2612538176	8.40183	0.0192588233	0.9934007206
rna14082	408	112119.077133172	68.9227	0.0127851601	0.2508088928
rna14084	409	838935.250305387	149994	0.0243748406	73.1254837339
rna14094	410	13134.692237234	54.8771	0.0341197658	1.7129911073
rna14100	411	4012.4461724391	6.22776	0.0673797435	0.6379174324
rna14108	412	8894.8982491656	15.5136	0.0285586195	0.7185695689
rna14112	413	51411.5069880447	3.45885	0.0231631244	0.0277857066
rna14113	414	387611.242534224	30.1844	0.0189685895	0.0322393683
rna14132	415	3881.4594144878	11.5662	0.0110796714	1.2366412958
rna14134	416	61765.85108088	7.48563	0.0244340557	0.0504165656
rna14137	417	244038.786756122	73.1775	0.0138331574	0.1250416702
rna14154	420	46485.598465727	33.5081	0.0286331304	0.3027475705
rna14159	421	17639.8745619296	12.2939	0.0205467269	0.2934109243
rna14165	422	10957.6380946069	14.0454	0.1435898395	0.5409157292
rna14173	423	43664.6703336486	25.3273	0.0149891685	0.2453573523
rna14181	424	760620.845488456	188.7	0.0107140785	0.1051888079
rna14184	427	73113.8147288589	14.9818	0.0211945379	0.0874968516
rna14202	428	2474.0786160681	44.0141	0.0352757882	7.6141617642
rna14206	429	29107.5079102826	32.3582	0.0146010526	0.4769102131
rna14207	430	26241.7021616456	62.6768	0.0580822373	1.0270303288
rna14211	431	3039375.42849542	440592	0.0117998475	62.4783467747
rna14214	432	162223.498784779	58.6327	0.0320450578	0.1561384546
rna14223	433	226083.953599014	37.8242	0.0183940791	0.0724415791
rna14224	434	55918.6913057623	48.4733	0.100154769	0.376214316
rna14248	435	50657.6670255353	49712	0.0194901657	426.8795084681
rna14289	436	39176.4607857505	2.07305	0.0193128002	0.0230712469
rna14304	438	78052.8099140425	17.0566	0.0218373254	0.0957145657
rna14307	439	16247779.2754814	656146	0.0111699417	17.7284593246
rna14314	441	93423.3190960514	22.6332	0.0237089439	0.1068388631
rna14354	442	242296.119108278	198156	0.018344683	361.4789717736
rna14356	443	3544.6313119619	8.58301	0.0206694596	1.0726851668
rna14369	445	3019.4455963091	22.3786	0.0824287379	3.2981143996
rna14392	447	56202.3181667278	2.75508	0.0142151222	0.0219122769
rna14421	448	77686.1902480977	95.8537	0.0274723047	0.5527682264
rna14422	449	111664.648357236	35.8394	0.0283537425	0.1441090877
rna14423	450	53685.4955083461	8.36443	0.0115444516	0.0701119262
rna14430	452	92400.1034015849	421413	0.0925255394	2061.4552255656
rna14447	453	101581.255089905	32.2268	0.1821388869	0.1437149048
rna14448	454	263109.071316683	33.1504	0.01231875	0.0572016827
rna14455	455	110259.940286231	17.3753	0.0138246337	0.0717011226
rna14459	456	8107.7600034582	6.62917	0.024734051	0.3728405279
rna14494	458	1520.8798383018	9.1959	0.0225752842	2.7692669032
rna14504	459	5625.976389409	7.87612	0.0351733882	0.6425798528
rna14536	461	5540.0236047961	18.5383	0.0291030272	1.5426209182
rna14541	463	395048.679374527	88.7356	0.0137735477	0.1039987853
rna14542	464	38703.7705399979	24.1379	0.0409937448	0.2893771187
rna14543	465	232012.397009633	3.61376	0.0230639986	0.0072427095
rna14556	466	12635.0790850274	39.5564	0.0370916336	1.4588972713
rna14559	467	87540.9382300238	39.7857	0.0101245756	0.2122426636
rna14562	468	18244.0614373209	21.1518	0.013330159	0.5425898413
rna14571	470	4032.5473541693	30.0498	0.0759353076	3.5023534157
rna14585	472	32141.1181312243	73.5149	0.0361445334	1.0795838732
rna14601	473	207917.468442991	75.6823	0.0189143323	0.1721727769
rna14602	474	488409.152152262	113439	0.0160634415	110.0922981542
rna14604	475	39233.4706630163	11.2887	0.0141554865	0.1366723976
rna14608	476	2189631.36139116	292882	0.0149064621	63.6690880749
rna14609	477	1506097.12446675	207468	0.0235211923	65.7077384933
rna14615	478	533249.586579705	101.69	0.024883093	0.091153976
rna14621	480	12690.9959535195	112979	0.0392687821	4273.1019849519
rna14622	481	19814.884361928	20.9901	0.0299402414	0.5095279849
rna14644	483	12560.7520652768	59.7122	0.0345931243	2.296119886
rna14646	484	27557.1973100274	244077	0.0487605169	4286.8389942186
rna14650	487	2841.0590768338	180213	0.031174376	30891.2024095639
rna14652	488	47592.0757371821	75.2518	0.0312875176	0.7716174979
rna14654	489	27670.7769168003	43.1113	0.0301734825	0.7618660569
rna14664	490	23038.1158721471	23.9316	0.0140315424	0.5090036036
rna14671	491	5675.7762802924	25.4013	0.0290155559	2.1974154167
rna14681	492	5180.5949017013	59.9164	0.0539397804	5.6902478112
rna14684	494	19095.745501466	12.1083	0.0332680886	0.3132373229
rna14690	495	295052.03521842	56.1627	0.0151967751	0.0942224868
rna14706	496	23429.0506135465	23.9988	0.0208251268	0.5080617647
rna14707	497	8734.7390867367	20.4452	0.0380910833	1.1633163051
rna14724	498	240096.143831688	26.7664	0.0320282963	0.0555180395
rna14727	499	86485.2393814961	40.5435	0.0292176636	0.2339266983
rna14733	500	633606.785054235	1054.97	0.091653479	0.8325116025
rna14748	501	81909.8534608572	126104	0.0434956656	771.3126239469
rna14750	502	57180.3011823798	18.1559	0.022102621	0.1593951345
rna14752	503	1112542.45336552	134953	0.0132054063	61.014623572
rna14758	504	204058.035311163	50.8581	0.0219130628	0.1256136881
rna14759	505	18148827.7951824	530339	0.0118043638	14.7569417718
rna14761	506	413490.103613919	240907	0.0230185738	294.8049806624
rna14763	507	53034.7779904384	41.7671	0.0348896838	0.3992836494
rna14764	508	1089.7107166398	18.6458	0.021221487	8.6922760833
rna14765	509	89629.867463232	91.6605	0.0254394792	0.5205317805
rna14775	511	980455.983458915	144469	0.0118860096	75.295230225
rna14797	513	15018.4061646013	12.7441	0.0156374338	0.4353140559
rna14805	515	288941.264892827	63.1976	0.0201741432	0.1126414533
rna14806	516	4371.1530910589	14.4862	0.0226154691	1.7100474507
rna14839	520	11145.4252717152	29.2231	0.0186323739	1.3634304326
rna14845	521	18966.7538149164	31.8065	0.0265192889	0.873696504
rna14864	522	764523.662159326	50532	0.0126028155	34.5021420599
rna14874	523	55823.9321797949	57.48	0.0171466039	0.5385152716
rna14876	524	1937814.20256078	2202.17	0.0104769064	0.5954838593
rna14886	525	34731.1490883241	31.0175	0.01266239	0.468864058
rna14907	527	4382.7488065163	5.36722	0.0351055716	0.6453769232
rna14908	528	133511.573061483	62.4086	0.0284369491	0.2468081234
rna14909	529	137861.008109656	22.2999	0.0180490442	0.0855691342
rna14913	530	3230.5130689396	42.8162	0.0379327099	7.0244526228
rna14915	531	460139.922220215	28.9146	0.0200926577	0.033367356
rna14919	532	118979.892689482	19.1996	0.0164091417	0.0858480115
rna14920	533	5403.4142841612	36.1043	0.1476756001	3.5613763609
rna14977	538	533.9297962326	8.84722	0.0413821725	8.9146633014
rna14981	539	72789.7749703919	137452	0.0294024412	1017.8164176237
rna15008	540	788.7898056366	10.6881	0.0562926136	7.3169987223
rna15013	541	2278168.7267942	105773	0.0155024429	25.1180662464
rna15014	542	217431.269997909	51.9347	0.0189603763	0.1294597939
rna15025	543	6529.0138877272	13.4642	0.0415479253	1.1197802188
rna15054	544	505091.047596506	259233	0.0145852105	279.2026361803
rna15056	545	48770.7833995776	26.6243	0.0301708631	0.2975191803
rna15064	546	5538.4645500054	23369	0.0251558923	2303.7926639772
rna15070	548	46523.7713976621	9.75686	0.0436412497	0.1149253192
rna15071	549	28148.9707049323	42.6352	0.0212434332	0.8315303975
rna15078	550	69730.8494481643	42713	0.028282798	336.8975164638
rna15079	551	270306.939185401	101632	0.0200188259	207.1690507419
rna15117	552	133386.043505416	118507	0.0140610445	490.4251020636
rna15135	553	7392.0840934056	26.8396	0.0388805993	2.0078639004
rna15137	554	43599.5311912654	44.8228	0.0251754187	0.5695435369
rna15148	555	560576.949398535	41.1884	0.0133865783	0.0407786336
rna15150	556	97165.8174143307	75.1163	0.0242156456	0.4298287599
rna15152	557	55407.4879767269	7.61814	0.0241611514	0.0765835835
rna15175	558	717534.549488845	152473	0.0190296832	118.572595648
rna15176	559	14960.9792075252	14.3611	0.0160198004	0.5365861946
rna15177	560	5395.6835012576	5.6645	0.0134015771	0.5878995681
rna15184	561	18516.954050725	65292	0.1540481792	1978.122962322
rna15189	562	23641.5734691046	46.3093	0.0143128417	1.1008500189
rna15203	563	3445745.0686192	147924	0.0105182905	24.1692900495
rna15222	566	71455.3222185056	17.5759	0.0234707227	0.1392192924
rna15240	567	595039.959823593	46.3779	0.0239132073	0.0441924427
rna15243	568	143047.428966953	48.2004	0.0184013594	0.1913898586
rna15247	569	14769728.4329987	1152.19	0.0502261177	0.0443878243
rna15250	570	3653.1727381444	9.60873	0.0144608986	1.4992381945
rna15251	571	1003.6233701621	8.95464	0.0341841147	5.0946396746
rna15261	574	60604.7604808774	22.2031	0.0110805698	0.2102900713
rna15265	575	38705.7064156448	15.9903	0.0221554802	0.2375469498
rna15290	579	2168.3144186879	6.61892	0.0297534121	1.7674349472
rna15294	580	341427.72298126	28.0306	0.0164367728	0.0476169535
rna15295	581	1955.5163770186	14.8217	0.0260309462	4.4036489805
rna15311	582	68498.8559826353	22.9696	0.0177781165	0.1951610287
rna15321	583	23886.0642245736	81.8201	0.0636097812	1.9970271306
rna15332	584	12853.7657515445	12.8489	0.0271927521	0.5837789287
rna15342	585	33963.3858160935	85247	0.0277207618	1468.3310807125
rna15386	586	1296.252007239	3.89653	0.0447184276	1.7615144025
rna15465	588	56677.8625927638	22.0021	0.0240474065	0.2282590452
rna15477	591	39451.9080239565	19267	0.0151776488	288.6247477077
rna15490	592	1380.4350754815	12.3869	0.0623330816	5.3121258147
rna15493	593	329900.941076901	32.7481	0.0101307306	0.0588650133
rna15499	594	34680.3215239873	54.8773	0.136615419	0.9399311992
rna15501	595	19146.5627299767	53764	0.03830862	1670.7740418553
rna15515	596	123772.65993982	64.4307	0.0166417365	0.3102518538
rna15522	597	1394749.15561774	248501	0.0124860439	106.3668663304
rna15541	599	2696.16756925	16.0176	0.0386886094	3.5585853451
rna15554	601	20305.1668365845	34.4757	0.0402075335	1.0204247947
rna15555	602	723632.611940683	399713	0.0103558841	332.5267850418
rna15560	603	54046.7942228128	124571	0.0138342163	1389.8384553638
rna15565	604	80877.6322256377	211205	0.0188421136	1577.2941972894
rna15578	605	12545.8957363363	21.3315	0.0304023387	1.0286676831
rna15601	607	278904.615040123	82.1691	0.0203091197	0.1788304711
rna15618	609	4157789.39795632	1623.29	0.0096626157	0.2377666388
rna15620	610	14477.5989296527	1.10452	0.0178272929	0.0465379103
rna15631	612	1430.4685114319	1.56843	0.0853342199	0.6710243199
rna15651	614	6518.0457059947	2.97009	0.019964311	0.2797825211
rna15661	615	2147.3124482691	7.2744	0.0286343691	2.0834210707
rna15671	616	3826.6522053042	18.7715	0.0727732118	3.0217650781
rna15674	617	320.8734663124	5.69363	0.2405558406	10.9481464777
rna15689	618	4935.7351227957	5.57869	0.0269013259	0.698503938
rna15704	619	2795.399720994	19.0593	0.0138605094	4.2204006144
rna15715	620	368806.799896098	140705	0.011334583	236.5387515213
rna15751	622	10764.041536432	13.9484	0.0171241845	0.8060081123
rna15782	625	25139.3460795996	32.7665	0.021728562	0.8146219251
rna15784	626	55495.9475961364	45.1406	0.0207816986	0.5091906134
rna15786	628	52059.3846703964	27532	0.0280665469	332.1225579109
rna15792	629	171.2742418112	11.7905	0.0413960277	43.3002909344
rna15799	630	18403.0936393202	25.0447	0.0284699754	0.8573645991
rna15809	632	26802.13491628	42.2529	0.0338057988	0.9963323028
rna15825	633	52824.3183933721	9.61679	0.0196319464	0.115239122
rna15826	634	42483.6928439558	41.5996	0.0195303559	0.6208063526
rna15831	635	2025.9500845002	11.7574	0.0562741073	3.6851594011
rna15844	636	8781.0792804141	8.40285	0.0221114465	0.6086054378
rna15850	637	50325.6818032185	36.8426	0.0240892945	0.4663371734
rna15851	638	9940.6011507665	14589	0.041579932	936.3399515614
rna15857	639	9868.4100925855	13.4125	0.0308098371	0.8684871646
rna15860	640	17586.7603338075	27.6838	0.0263715093	1.007441488
rna15864	641	3309.197398051	37.1694	0.040671437	7.1998078489
rna15869	642	176485.463893669	17.5062	0.0173428269	0.0636821875
rna15870	643	316526.503305872	49.2138	0.0158843161	0.0999741667
rna15872	644	3849.6866794105	25.6003	0.1703027481	4.2825805248
rna15875	645	1546.2086216566	7.51822	0.594679762	3.1362209679
rna15877	646	17400.3419691045	1.78335	0.0151280715	0.0662081298
rna15880	647	6800.2159776896	32.3521	0.0658201715	3.0781093966
rna15886	648	19391.0491095597	15.7287	0.0155166577	0.5256135211
rna15890	649	10086850.0150924	143052	0.0124226816	9.2041368575
rna15903	652	3888.5069717428	23.5361	0.036921076	3.9463828435
rna15908	653	180969.008393482	336409	0.013713743	1213.8823047666
rna15914	654	7997.599254184	9.14614	0.0177994844	0.7479213911
rna15922	655	5536034.30650329	358682	0.0074815265	42.4377265372
rna15924	656	366488.589762024	32.8992	0.0197312089	0.0588882596
rna15950	659	30537.5173280789	33.3926	0.0269229731	0.7206127192
rna15995	662	5106.7382675449	5.44798	0.0273399007	0.7062360691
rna15996	663	6766.2502096207	167233	0.0512496039	16386.547284691
rna16003	664	2129.567597808	27.6231	0.0467190437	8.6128932554
rna16009	665	2732.488405747	19.5276	0.0334453433	4.7523912536
rna16034	668	75103.8708369803	29.7764	0.0241886683	0.2648416783
rna16070	669	12746.6064780141	9.18892	0.0462378873	0.4822763997
rna16083	670	9505.1132356458	43.5229	0.0212699553	3.0678585596
rna16084	671	2410.0830514848	9.27242	0.0321815652	2.5815682228
rna16093	672	778962.020066217	181936	0.0131518758	156.9537266908
rna16094	673	1630.7061113596	0.650286	0.0480301654	0.268376058
rna16108	674	6230.1135424757	28.2073	0.0170714549	3.0515848661
rna16111	675	125349.448866917	35.9828	0.0301431974	0.1937654311
rna16139	678	19304.0158628954	24.6464	0.0415048345	0.8656364209
rna16152	679	9464.5594746871	4.63865	0.0267646081	0.332782879
rna16156	680	10281.4958422124	17.5181	0.0188066469	1.1586162347
rna16162	681	10089.9697491195	4.67562	0.0421240559	0.3155705418
rna16172	682	51777.8137631399	87.0678	0.0148252262	1.1468278648
rna16200	687	25990.5277417409	190815	0.1886931117	5043.7569526328
rna16218	689	906599.180243133	69.5285	0.0148526727	0.0528404807
rna16229	690	153644.277138969	57.0193	0.0242229348	0.256067572
rna16230	692	721474.096830321	60.3345	0.0140693672	0.0578696785
rna16239	694	50923.8185379256	41.1442	0.0367209276	0.5607213995
rna16257	695	223525.396876499	25.6111	0.0138263567	0.079631732
rna16265	696	4095.8135254028	10.3318	0.029688242	1.7556787572
rna16292	699	141277.251517592	350378	0.1255963875	1733.5715366002
rna16296	700	519777.357899461	32.3143	0.0132033212	0.0435186521
rna16303	701	1507545.62651172	186019	0.012568359	86.4977594753
rna16308	703	53096.6467478519	23.6188	0.0321453675	0.3127130886
rna16326	704	76115.9183510572	202831	0.3800410721	1875.9942347594
rna16327	705	586.488824238	56.1088	0.0252870858	67.4466458102
rna16350	707	394266.684472199	378043	0.1772537335	677.9076486206
rna16353	708	14214.6732350217	33.0143	0.0195748867	1.6443659318
rna16354	709	459278.351726892	251495	0.0644665207	388.239407169
rna16357	710	50159.9349169236	1.95914	0.1021802822	0.0277310846
rna16359	711	154394.617627219	62.6845	0.0152006424	0.2886673136
rna16360	712	209893.990876251	45264	0.0135002987	153.5440241307
rna16362	713	2487883.55175305	147358	0.0176613213	42.2311783548
rna16365	714	205991.828755628	54.4174	0.0210259782	0.1886192469
rna16372	715	668429.843624653	126545	0.0195973737	135.3615130488
rna16380	717	33772.655869051	11.9121	0.050669733	0.2528961813
rna16383	718	110927.255470618	12.1167	0.0338048656	0.0784278901
rna16384	719	519667.476716467	258426	0.030964871	357.5522855
rna16385	720	70406.8578483345	7.17133	0.0186965409	0.0733360039
rna16390	721	219122.647587296	48.3607	0.0180098305	0.1591257913
rna16396	722	192112.822074525	60.7688	0.0189776679	0.2283818078
rna16411	724	169731.290328219	147765	0.0267293321	630.3013415683
rna16415	725	66902.9033811135	182349	0.0387676663	1976.0431658235
rna16418	726	14653.6899382418	34.5932	0.0216648152	1.7138798013
rna16422	728	622078.894364818	69.2878	0.0188062987	0.0810854039
rna16426	729	68602.8501098409	32.9344	0.0393814115	0.3499734714
rna16434	730	3185931.21792917	1506.05	0.0146269308	0.3450848197
rna16435	731	6624.5548074151	85286	0.0381273125	9411.0574691323
rna16469	735	47650.4520489269	40.9356	0.0266970411	0.6314245659
rna16472	736	27228.3278061206	17.7487	0.0208896444	0.4797592894
rna16502	739	9117.8181241561	21.3318	0.0232721175	1.7289443577
rna16527	741	43775.1595545132	6.80664	0.0210633596	0.1152187746
rna16532	742	589.7343460949	4.65343	0.0791555505	5.8549160022
rna16547	743	3095.0215452605	2.32256	0.0394200672	0.5575606033
rna16551	744	53395.1166759414	17.0711	0.0147812463	0.2378662917
rna16562	745	174.5216967479	3.12071	0.0546879177	13.3217186936
rna16567	746	58947.1090657073	154351	0.0366216267	1953.3756247766
rna16568	747	3443.3062631471	18.9057	0.0596713763	4.1014527378
rna16571	748	132827.769827007	31.7606	0.0250416415	0.1788551357
rna16577	750	670.5683679736	58.0059	0.0480090905	64.8769418269
rna16583	752	153354.789392463	41.1027	0.0143822086	0.2015537338
rna16587	753	115099.198573935	25.5406	0.0230770588	0.1670912746
rna16589	754	86493.6156798494	31.7302	0.0328168229	0.276605049
rna16590	755	62669.7937090148	64.9412	0.0328102202	0.7823642476
rna16592	756	801084.675199295	76.6866	0.0133369274	0.0723707136
rna16596	757	4935.6019869499	9.41887	0.0457692834	1.4446230893
rna16600	758	2199822.62260194	181814	0.0162193881	62.6482383552
rna16608	759	87110.4265582105	28734	0.013990199	250.3616026427
rna16611	760	119125.714092527	32.0398	0.0257473625	0.2044079919
rna16618	761	12731.2679611422	20.0452	0.0190274606	1.1981836567
rna16627	762	564.6797345051	22.8593	0.0666298745	30.8471962701
rna16630	763	16729.9215500689	4.86854	0.0233489354	0.2220390579
rna16637	764	11000.754689343	19.0958	0.0240123776	1.3261991211
rna16665	770	23058.2749051993	645786	0.0266194238	21565.1527290915
rna16698	772	223409.37170033	13.9948	0.0302888223	0.0483595899
rna16714	773	2153.9384666733	69.8463	0.0251609219	25.0662638396
rna16774	777	77678.9411682533	58.4966	0.0255584285	0.5851245848
rna16776	778	2850.2611367727	11.6009	0.0357619587	3.166552034
rna16777	779	36233.0743450178	9.19765	0.0122298513	0.1977466577
rna16778	780	330779.298733667	153253	0.0123603228	361.3809584144
rna16804	782	1819.1639286438	23.5005	0.0306073096	10.1021082876
rna16805	783	611672.139706605	154201	0.016192301	197.3923204315
rna16823	785	6053.1083004797	5.95953	0.0077117355	0.7728642571
rna16831	786	1637.5816110841	15.9215	0.0569266728	7.6419391347
rna16844	787	1301833.38524253	2669.28	0.0109459828	1.6136652999
rna16845	788	170492.188714392	63.6266	0.0253699366	0.294076586
rna16860	790	3522.2246409537	80.6399	0.3061078872	18.0867285577
rna16861	791	1810770.50883842	5306.54	0.0295314605	2.3180591464
rna16863	792	102328.47121179	108084	0.0224203419	836.5465347648
rna16868	794	843855.838219051	82.8536	0.0273796435	0.0779585273
rna16869	795	124651.971970132	548181	0.0262481122	3496.1652680828
rna16872	796	255979.645414195	73.6677	0.0196098232	0.2290787188
rna16886	797	46826.9400283267	48.5002	0.0114370428	0.8254790806
rna16887	798	801543.699875666	83.3535	0.0252385119	0.0829849864
rna16895	799	189399.763742916	52.0259	0.0228691846	0.2194759554
rna16898	800	41312.3092670583	54.2935	0.0162076401	1.0513767148
rna16905	801	192434.908385727	55.6004	0.013936808	0.2314336872
rna16907	802	124097.479806956	17.4153	0.0164503969	0.1125491881
rna16916	804	3159414.318272	225753	0.0431579717	57.4490692627
rna16928	805	3549.0759958394	16268	0.0318610363	3689.9012631322
rna16930	806	17975.6984306505	13.5699	0.0374346354	0.6084514291
rna16935	807	48127.48013521	32.5196	0.0197048392	0.5452875805
rna16942	808	476116.148719989	19.4875	0.0167146443	0.0330715521
rna16958	810	79877.0042207518	44832	0.0105506978	454.6229588135
rna16978	813	19225.5080849311	18.2212	0.0323124714	0.7705302525
rna16995	815	20381.8165104438	6.53025	0.0184856857	0.2611226407
rna17032	816	8879.6353236917	232557	0.1417454785	21370.9803479976
rna17034	817	14342.6964494211	17.1002	0.0322327876	0.9740750945
rna17068	818	22054.1723665999	9.61627	0.0189246795	0.3566721403
rna17070	819	741769.91403351	93.2255	0.0268279641	0.1029317623
